Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
195.5,10,California,55,46,30,07,Jul 19,,,,,,,,Public Policy Inst. of Calif.-10
171.0,25,California,55,50,26,10,Jul 02,,,,,,,,Field Poll-25
152.5,4,California,55,48,33,,Jun 03,,,,,,,,YouGov-4
150.0,3,California,55,55,31,,May 31,,,,,,,,Marist Coll.-3
148.5,6,California,55,53,34,,May 31,,,,,,,,Field Poll-6
145.0,13,California,55,56,30,,May 31,,,,,,,,LA Times-13
140.5,4,California,55,52,38,,May 22,,,,,,,,SurveyUSA-4
137.5,10,California,55,49,39,,May 22,,,,,,,,Public Policy Inst. of Calif.-10
136.0,31,California,55,52,32,,May 31,,,,,,,,Morning Consult-31
130.0,13,California,55,45,33,04,May 16,,,,,,,,Hoover Institution-13
118.5,4,California,55,56,34,,Apr 30,,,,,,,,SurveyUSA-4
 91.0,5,California,55,60,26,,Apr 03,,,,,,,,SurveyUSA-5
 88.5,12,California,55,59,31,,Apr 04,,,,,,,,Field Poll-12
 78.5,8,California,55,57,30,,Mar 23,,,,,,,,LA Times-8
 46.0,29,California,55,53,32,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,California,55,59,38,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Colorado,9,47,45,05,Dec 01,,,,,,,,2016 Election results-1
307.5,2,Colorado,9,48,43,04,Nov 04,,,,,,,,PPP-2
307.0,7,Colorado,9,43,39,11,Nov 06,,,,,,,,SurveyMonkey-7
303.0,3,Colorado,9,39,39,05,Oct 31,,,,,,,,Ciruli Assoc.-3
302.5,4,Colorado,9,44,41,08,Oct 31,,,,,,,,Emerson Coll.-4
300.0,3,Colorado,9,42,39,07,Oct 28,,,,,,,,YouGov-3
300.0,7,Colorado,9,44,39,11,Oct 30,,,,,,,,SurveyMonkey-7
293.5,8,Colorado,9,44,34,09,Oct 24,,,,,,,,U. of Colorado Boulder-8
286.0,7,Colorado,9,45,37,10,Oct 16,,,,,,,,Quinnipiac U.-7
285.0,9,Colorado,9,44,37,12,Oct 16,,,,,,,,SurveyMonkey-9
273.5,4,Colorado,9,49,38,07,Oct 02,,,,,,,,Monmouth U.-4
270.5,2,Colorado,9,46,40,06,Sep 28,,,,,,,,PPP-2
265.5,6,Colorado,9,41,42,13,Sep 25,,,,,,,,Opinion Research-6
265.0,3,Colorado,9,40,39,07,Sep 23,,,,,,,,YouGov-3
260.0,9,Colorado,9,44,42,10,Sep 21,,,,,,,,Quinnipiac U.-9
259.0,5,Colorado,9,41,34,12,Sep 18,,,,,,,,CMU-RMPBS-5
254.0,5,Colorado,9,38,42,13,Sep 13,,,,,,,,Emerson Coll.-5
232.5,24,Colorado,9,37,37,16,Sep 01,,,,,,,,SurveyMonkey-24
224.5,8,Colorado,9,41,33,16,Aug 16,,,,,,,,Quinnipiac U.-8
219.0,7,Colorado,9,41,29,15,Aug 10,,,,,,,,Marist Coll.-7
191.5,4,Colorado,9,37,28,13,Jul 12,,,,,,,,Anderson Robbins + Shaw-4
191.5,4,Colorado,9,48,35,05,Jul 12,,,,,,,,Monmouth U.-4
189.0,7,Colorado,9,39,33,13,Jul 11,,,,,,,,Marist Coll.-7
188.5,2,Colorado,9,43,41,,Jul 08,,,,,,,,Gravis-2
173.5,4,Colorado,9,40,39,,Jun 24,,,,,,,,YouGov-4
136.0,31,Colorado,9,45,37,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Colorado,9,44,39,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Colorado,9,51,47,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Connecticut,7,54,42,03,Dec 01,,,,,,,,2016 Election results-1
307.0,7,Connecticut,7,51,37,07,Nov 06,,,,,,,,SurveyMonkey-7
300.0,7,Connecticut,7,51,39,04,Oct 30,,,,,,,,SurveyMonkey-7
246.5,4,Connecticut,7,50,35,09,Sep 05,,,,,,,,Emerson Coll.-4
232.5,24,Connecticut,7,44,33,12,Sep 01,,,,,,,,SurveyMonkey-24
154.0,5,Connecticut,7,41,36,06,Jun 05,,,,,,,,Quinnipiac U.-5
136.0,31,Connecticut,7,45,40,,May 31,,,,,,,,Morning Consult-31
100.5,2,Connecticut,7,48,40,,Apr 11,,,,,,,,Emerson Coll.-2
 46.0,29,Connecticut,7,47,36,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Connecticut,7,58,40,,Jan 01,,,,,,,,Election 2012-1
335.0,1,D.C.,3,93,4,02,Dec 01,,,,,,,,2016 Election results-1
307.0,7,D.C.,3,88,7,02,Nov 06,,,,,,,,SurveyMonkey-7
300.0,7,D.C.,3,87,4,04,Oct 30,,,,,,,,SurveyMonkey-7
136.0,31,D.C.,3,66,20,,May 31,,,,,,,,Morning Consult-31
 46.0,29,D.C.,3,70,17,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,D.C.,3,91,7,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Delaware,3,53,42,03,Dec 01,,,,,,,,2016 Election results-1
307.0,7,Delaware,3,49,39,07,Nov 06,,,,,,,,SurveyMonkey-7
300.0,7,Delaware,3,51,38,06,Oct 30,,,,,,,,SurveyMonkey-7
265.0,13,Delaware,3,51,30,07,Sep 28,,,,,,,,U. of Delaware-13
232.5,24,Delaware,3,43,33,12,Sep 01,,,,,,,,SurveyMonkey-24
203.0,5,Delaware,3,42,32,,Jul 24,,,,,,,,Fairleigh Dickinson U.-5
136.0,31,Delaware,3,45,39,,May 31,,,,,,,,Morning Consult-31
 46.0,29,Delaware,3,47,38,,Feb 29,,,,,,,,Morning Consult-29
  1.0,1,Delaware,3,59,40,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Florida,29,48,49,02,Dec 01,,,,,,,,2016 Election results-1
309.5,2,Florida,29,48,46,03,Nov 06,,,,,,,,Opinion Savvy-2
308.5,4,Florida,29,46,45,02,Nov 06,,,,,,,,Quinnipiac U.-4
307.0,3,Florida,29,45,45,04,Nov 04,,,,,,,,YouGov-3
307.0,7,Florida,29,47,45,05,Nov 06,,,,,,,,SurveyMonkey-7
305.5,2,Florida,29,49,45,03,Nov 02,,,,,,,,Opinion Savvy-2
302.5,6,Florida,29,46,45,02,Nov 01,,,,,,,,Quinnipiac U.-6
302.5,6,Florida,29,49,47,03,Nov 01,,,,,,,,Opinion Research-6
300.5,6,Florida,29,48,40,03,Oct 30,,,,,,,,TargetSmart/Wm. & Mary-6
300.0,7,Florida,29,46,45,05,Oct 30,,,,,,,,SurveyMonkey-7
299.5,2,Florida,29,46,45,04,Oct 27,,,,,,,,Emerson Coll.-2
299.0,3,Florida,29,42,46,04,Oct 27,,,,,,,,Siena Coll.-3
298.5,2,Florida,29,45,44,05,Oct 26,,,,,,,,Marist Coll.-2
298.5,2,Florida,29,48,44,,Oct 26,,,,,,,,PPP-2
295.5,4,Florida,29,43,45,04,Oct 24,,,,,,,,Selzer-4
295.5,6,Florida,29,43,39,06,Oct 25,,,,,,,,U. of North Florida-6
295.0,3,Florida,29,46,43,03,Oct 23,,,,,,,,Florida Atlantic U.-3
295.0,5,Florida,29,48,45,02,Oct 24,,,,,,,,SurveyUSA-5
293.5,2,Florida,29,46,43,03,Oct 21,,,,,,,,YouGov-2
293.0,1,Florida,29,49,45,03,Oct 20,,,,,,,,Opinion Savvy-1
286.0,7,Florida,29,48,44,04,Oct 16,,,,,,,,Quinnipiac U.-7
285.5,2,Florida,29,46,42,05,Oct 13,,,,,,,,PPP-2
285.0,9,Florida,29,43,45,07,Oct 16,,,,,,,,SurveyMonkey-9
283.5,2,Florida,29,47,44,05,Oct 11,,,,,,,,Opinion Savvy-2
280.0,5,Florida,29,49,43,01,Oct 09,,,,,,,,Florida Atlantic U.-5
277.0,3,Florida,29,45,42,05,Oct 05,,,,,,,,Marist Coll.-3
276.0,3,Florida,29,44,45,04,Oct 04,,,,,,,,Emerson Coll.-3
273.5,8,Florida,29,41,38,06,Oct 04,,,,,,,,U. of Northern Florida-8
272.5,6,Florida,29,46,41,05,Oct 02,,,,,,,,Quinnipiac U.-6
271.5,2,Florida,29,47,46,04,Sep 29,,,,,,,,Opinion Savvy-2
271.0,3,Florida,29,46,42,07,Sep 29,,,,,,,,Mason Dixon-3
270.5,2,Florida,29,45,43,03,Sep 28,,,,,,,,PPP-2
263.0,3,Florida,29,44,45,03,Sep 21,,,,,,,,Suffolk U.-3
260.5,4,Florida,29,46,41,06,Sep 19,,,,,,,,Monmouth U.-4
255.0,5,Florida,29,41,40,09,Sep 14,,,,,,,,Siena Coll.-5
252.5,6,Florida,29,44,47,06,Sep 12,,,,,,,,Opinion Research-6
251.0,3,Florida,29,44,42,05,Sep 09,,,,,,,,YouGov-3
250.5,2,Florida,29,42,46,03,Sep 08,,,,,,,,JMC Analytics-2
248.0,3,Florida,29,43,44,05,Sep 06,,,,,,,,PPP-3
245.5,10,Florida,29,43,43,08,Sep 07,,,,,,,,Quinnipiac U.-10
235.0,3,Florida,29,44,42,06,Aug 24,,,,,,,,Mason Dixon-3
232.5,4,Florida,29,41,43,08,Aug 22,,,,,,,,Florida Atlantic U.-4
232.5,24,Florida,29,42,40,10,Sep 01,,,,,,,,SurveyMonkey-24
228.0,5,Florida,29,52,38,08,Aug 18,,,,,,,,Saint Leo U.-5
225.5,4,Florida,29,48,39,06,Aug 15,,,,,,,,Monmouth U.-4
223.0,3,Florida,29,45,40,05,Aug 12,,,,,,,,YouGov-3
222.0,1,Florida,29,45,44,06,Aug 10,,,,,,,,Opinion Savvy-1
219.0,7,Florida,29,41,36,09,Aug 10,,,,,,,,Marist Coll.-7
218.0,3,Florida,29,46,43,,Aug 07,,,,,,,,PPP-3
215.0,9,Florida,29,43,43,07,Aug 07,,,,,,,,Quinnipiac U.-9
214.0,3,Florida,29,43,39,04,Aug 03,,,,,,,,Suffolk U.-3
190.5,2,Florida,29,42,47,02,Jul 10,,,,,,,,JMC Analytics-2
189.0,7,Florida,29,41,36,07,Jul 11,,,,,,,,Marist Coll.-7
